epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,0.3869762463887533,87.55,0.03649879644820467,98.67
1,0.12800547685225805,96.13333333333334,0.032879274539463224,99.0
2,0.09923457707564036,96.98833333333333,0.023168659190088512,99.26
3,0.08785547223885853,97.43166666666667,0.031792298864549956,98.98
4,0.08071509507099787,97.58833333333334,0.020606472662766464,99.28
5,0.07302914816935857,97.90666666666667,0.0194245691051241,99.31
6,0.07084392407337825,97.90833333333333,0.017706911253440195,99.43
7,0.06699259595870971,98.04833333333333,0.018676385977480094,99.42
8,0.06513787758549054,98.135,0.021336210332385235,99.33
9,0.0613574289282163,98.2,0.0233240280601196,99.25
10,0.06145258777340253,98.26,0.019033380284113808,99.42
11,0.06151133508036534,98.18333333333334,0.02292315684002824,99.3
12,0.05895425709088643,98.25,0.01889398426474654,99.36
13,0.058470168500145275,98.28833333333333,0.019278491740989237,99.52
14,0.05739128407438596,98.35,0.022868510533869266,99.22
15,0.05745989715854327,98.34,0.02220314478073269,99.39
16,0.05360427547891935,98.39333333333333,0.019420590089707025,99.5
17,0.05227933720946312,98.51666666666667,0.02337194426774504,99.33
18,0.054297445957859354,98.405,0.02098828068814764,99.46
19,0.05564530748128891,98.41333333333333,0.024942617732437795,99.31
20,0.0519250710239013,98.49833333333333,0.020303730494630873,99.42
21,0.05591765515605609,98.41666666666667,0.022499439526326024,99.37
22,0.050888969449202216,98.565,0.0170703787518898,99.45
23,0.05139591906070709,98.51666666666667,0.019504292005299066,99.44
24,0.05093639674186706,98.51166666666667,0.024557859989104328,99.32
25,0.04899284944931666,98.56666666666666,0.017286020877862303,99.54
26,0.049627225476503375,98.58833333333334,0.02232771340035979,99.29
27,0.049985673846801124,98.60166666666667,0.021592501183968126,99.44
28,0.048958376989761986,98.635,0.020793009482789785,99.36
29,0.05053517680366834,98.58833333333334,0.018028576622211405,99.5
30,0.04847157855629921,98.56833333333333,0.019680463731498433,99.46
31,0.04870107686122258,98.59333333333333,0.021573639149678275,99.42
32,0.048019647152225176,98.62166666666667,0.018822606146597535,99.45
33,0.044853850043813384,98.72666666666667,0.01739871756932116,99.48
34,0.043486142349988224,98.77666666666667,0.019974163858572137,99.43
35,0.046267017596960065,98.73,0.020736696981015847,99.46
36,0.047653175687789914,98.655,0.018373268425895366,99.45
37,0.048414637207984924,98.575,0.0180645662275434,99.48
38,0.04282214051187038,98.77166666666666,0.019713048698268506,99.49
39,0.04503207345406214,98.66333333333333,0.02419265217435968,99.36
40,0.04417936089783907,98.68666666666667,0.016602137125772423,99.51
41,0.04156132085720698,98.815,0.018665985381690554,99.57
42,0.04343831541736921,98.79,0.018403329794339243,99.52
43,0.04495111856907606,98.73333333333333,0.018883581300258082,99.43
44,0.044693192500869436,98.71,0.014700563336605955,99.53
45,0.04291178043981393,98.73333333333333,0.01759191717589215,99.54
46,0.04462741172214349,98.71666666666667,0.019488202919016477,99.43
47,0.04369957663516204,98.735,0.023030554926372133,99.27
48,0.04483432506149014,98.71,0.015558395300379925,99.52
